Index,Compound name,A_site,A'_site,B_site,B'_site,C_A,C_A',Cn_A,Cn_A',C_B,C_B',Cn_B,Cn_B',r_Asite,r_A'site,r_Bsite,r_B'site,Avg_AA',Avg_BB',TF,Energy,Fermi_energy,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,space_group_LS,Space_group_No_LS,space_group_HS,Space_group_No_HS,Total_mag_Outcar,mag_B,mag_B',mag_O,A_s,A_p,A_d,A'_s,A'_p,A'_d,B_s,B_p,B_d,B'_s,B'_p,B'_d,O_s,O_p,dis_x_A1,dis_x_A2,dis_y_A1,dis_y_A2,dis_x_A'1,dis_x_A'2,dis_y_A'1,dis_y_A'2,|x_A_dis|,|y_A_dis|,|x_A'_dis|,|y_A'_dis|,|A_dis|,|A'_dis|,tilt_angle,rot_angle,target_label
Comp_89,GdMgMnNiO6_L,Gd,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.053,0.89,0.53,0.69,0.71,0.61,0.743295904,-129.80202,3.14601346,5.13006,5.32539,7.343189,90,89.970032,90,200.612736,P21,4,P4/nmm,129,-8.357,2.5255,0.0035,0.03125,2.101,5.9475,0.6485,0.083,0.059,0,0.377,0.6085,4.908,0.396,0.581,8.28,1.564416667,3.398333333,-0.019921225,0.019921205,-0.063351102,-0.063351102,0.003430981,-0.003431001,0.059602922,0.059602902,0.019921215,0.063351102,0.003430991,0.059602912,0.066409464,0.059701581,2.522704886,8.634919557,1
Comp_90,GdMgMnNiO6_R,Gd,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.053,0.89,0.53,0.69,0.9715,0.61,0.837651185,-129.97056,3.66816212,5.084215,5.346655,7.373441,90.000351,89.523697,90.001404,200.429336,Pc,7,F-4 3m,216,7.878,2.556,1.541,-0.029833333,0.251,6.623,1.344,0.126,0.133,0,0.379,0.618,4.885,0.399,0.564,8.244,1.559,3.450833333,-0.018125469,-0.0181147,-0.069243552,-0.069243552,0.026419814,0.026428156,-0.067437686,0.067436005,0.018120085,0.069243552,0.026423985,0.067436846,0.071575184,0.072428966,16.52847105,17.14567137,2
Comp_91,GdSnMnNiO6_C,Gd,Sn,Mn,Ni,3,4,8,8,4,3,6,6,1.053,0.81,0.53,0.69,0.9315,0.61,0.823218255,-132.68467,6.0016581,5.23456,5.50556,7.553271,88.20636,88.844749,92.815346,217.258501,P-1,2,P42/mmc,131,9.706,2.756,1.752,0.052,0.247,6.591,1.284,1.158,1.612,0.638,0.319,0.4745,4.9475,0.364,0.474,8.221,1.559833333,3.4585,-0.02047708,0.02047708,-0.074445501,-0.074445501,0.013244098,-0.013244138,-0.066273687,0.066273647,0.02047708,0.074445501,0.013244118,0.066273667,0.077210384,0.067584063,22.9151576,27.67791294,0
Comp_92,GdSnMnNiO6_C,Gd,Sn,Mn,Ni,3,4,8,8,4,3,6,6,1.053,0.81,0.53,0.69,0.67,0.61,0.728862974,-132.68467,6.00157563,5.23456,5.50556,7.553271,88.20636,88.844749,92.815346,217.258501,P-1,2,P42/mmc,131,9.706,2.756,1.752,0.052,0.247,6.591,1.284,1.158,1.612,0.638,0.319,0.4745,4.9475,0.364,0.474,8.221,1.559833333,3.4585,-0.02047708,0.02047708,-0.074445501,-0.074445501,0.013244098,-0.013244138,-0.066273687,0.066273647,0.02047708,0.074445501,0.013244118,0.066273667,0.077210384,0.067584063,22.91986172,27.67556465,0
Comp_93,GdSnMnNiO6_L,Gd,Sn,Mn,Ni,3,4,8,8,3,2,6,6,1.053,0.81,0.53,0.69,0.9315,0.61,0.823218255,-132.60738,5.98544998,5.217313,5.465586,7.494729,90,89.586777,90,213.71167,P21,4,P4/nmm,129,8.375,2.4645,1.734,0.021583333,0.2475,6.599,1.3175,1.3545,1.214,0.397,0.3555,0.568,4.93,0.364,0.482,8.229,1.564083333,3.441583333,-0.020078834,0.020078813,-0.06624759,-0.06624759,0.015474248,-0.015474268,0.061783911,0.06178389,0.020078823,0.06624759,0.015474258,0.061783901,0.069223568,0.063692253,19.76532875,23.39520451,1
Comp_94,GdSnMnNiO6_L,Gd,Sn,Mn,Ni,3,4,8,8,3,2,6,6,1.053,0.81,0.53,0.69,0.67,0.61,0.728862974,-132.60738,5.98470084,5.217313,5.465586,7.494729,90,89.586777,90,213.71167,P21,4,P4/nmm,129,8.375,2.4645,1.734,0.021583333,0.2475,6.599,1.3175,1.3545,1.214,0.397,0.3555,0.568,4.93,0.364,0.482,8.229,1.564083333,3.441583333,-0.020078834,0.020078813,-0.06624759,-0.06624759,0.015474248,-0.015474268,0.061783911,0.06178389,0.020078823,0.06624759,0.015474258,0.061783901,0.069223568,0.063692253,19.76616355,23.25002546,1
Comp_95,GdSnMnNiO6_R,Gd,Sn,Mn,Ni,3,4,8,8,3,2,6,6,1.053,0.81,0.53,0.69,0.9315,0.61,0.823218255,-132.89987,5.90230852,5.205472,5.493086,7.508816,90.397598,89.601967,89.866371,214.696923,Pc,7,F-4 3m,216,9.583,2.6775,1.736,0.056083333,0.2425,6.583,1.2685,1.3775,1.2235,0.412,0.358,0.571,4.894,0.364,0.482,8.224,1.563416667,3.44475,-0.017563468,-0.02075036,-0.071862068,-0.071862068,0.021368906,0.007376588,-0.075155634,0.045699545,0.019156914,0.071862068,0.014372747,0.06042759,0.074371663,0.06211336,15.04169561,25.1944287,2
Comp_96,GdSnMnNiO6_R,Gd,Sn,Mn,Ni,3,4,8,8,3,2,6,6,1.053,0.81,0.53,0.69,0.67,0.61,0.728862974,-132.89987,5.90656556,5.205472,5.493086,7.508816,90.397598,89.601967,89.866371,214.696923,Pc,7,F-4 3m,216,9.583,2.6775,1.736,0.056083333,0.2425,6.583,1.2685,1.3775,1.2235,0.412,0.358,0.571,4.894,0.364,0.482,8.224,1.563416667,3.44475,-0.017563468,-0.02075036,-0.071862068,-0.071862068,0.021368906,0.007376588,-0.075155634,0.045699545,0.019156914,0.071862068,0.014372747,0.06042759,0.074371663,0.06211336,14.97888261,24.60346246,2
Comp_97,GdSrMnNiO6_C,Gd,Sr,Mn,Ni,3,2,8,8,4,3,6,6,1.053,1.26,0.53,0.69,0.895,0.61,0.810048206,-157.161675,2.98419415,5.383687,5.424018,7.520857,89.569016,90.182472,89.755424,219.60882,P-1,2,P42/mmc,131,11.513,-2.315,1.5735,-0.066333333,2.132,5.972,0.882,2.007,5.785,0.269,0.3755,0.6075,4.8975,0.386,0.5395,8.2335,1.5615,3.434833333,-0.009679932,0.009679932,-0.047287532,-0.047287532,0.005774787,-0.005774827,-0.035640246,0.035640206,0.009679932,0.047287532,0.005774807,0.035640226,0.048268123,0.036105043,10.48623248,14.02870551,0
Comp_98,GdZrMnNiO6_C,Gd,Zr,Mn,Ni,3,2,8,8,3,2,6,6,1.053,0.84,0.53,0.69,0.9465,0.61,0.828630604,-148.34078,6.06180638,5.06129,5.621073,7.318274,90.388924,90.601181,88.859116,208.146751,P-1,2,P42/mmc,131,7.819,1.894,1.6895,0.049,0.247,6.618,1.319,0.475,0.735,2.279,0.3245,0.4995,5.0205,0.3785,0.513,8.284,1.555,3.4805,-0.021849836,0.021849836,-0.087338009,-0.087338009,0.041617569,-0.04161761,-0.086522998,0.086522957,0.021849836,0.087338009,0.04161759,0.086522977,0.090029679,0.096011715,22.9932085,29.02266773,0
Comp_99,GdZrMnNiO6_R,Gd,Zr,Mn,Ni,3,2,8,8,4,3,6,6,1.053,0.84,0.53,0.69,0.9465,0.61,0.828630604,-148.40079,6.04197857,5.067506,5.570876,7.420595,89.981087,90.743034,89.988564,209.469096,Pc,7,F-4 3m,216,7.817,1.901,1.694,0.04475,0.2455,6.612,1.311,0.4825,0.739,2.3095,0.321,0.492,5.0125,0.374,0.507,8.278,1.55525,3.480083333,-0.026324964,-0.02610632,-0.079491863,-0.079491863,0.037770355,0.037592216,-0.087024292,0.086971405,0.026215642,0.079491863,0.037681286,0.086997849,0.083703143,0.094807726,19.05173767,20.58974163,2
Comp_100,HgCeMnNiO6_C,Hg,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.97,0.53,0.69,1.055,0.61,0.867779927,-124.6503639,4.98396727,5.353895,5.366434,7.613361,90.324936,90.166092,90.003326,218.737475,P-1,2,P42/mmc,131,9.71,2.7345,1.7325,0.050166667,0.531,0.323,9.507,1.963,5.632,0.712,0.3605,0.58,4.8705,0.3615,0.482,8.22,1.566833333,3.415666667,8.11E-05,-8.11E-05,-0.031966823,-0.031966823,0.009239737,-0.009239777,-0.047407978,0.047407937,8.11E-05,0.031966823,0.009239757,0.047407957,0.031966926,0.048299974,15.57746991,24.82420215,0
Comp_101,HgCeMnNiO6_C,Hg,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.97,0.53,0.69,0.75,0.61,0.757728834,-124.6503639,4.98422489,5.353895,5.366434,7.613361,90.324936,90.166092,90.003326,218.737475,P-1,2,P42/mmc,131,9.71,2.7345,1.7325,0.050166667,0.531,0.323,9.507,1.963,5.632,0.712,0.3605,0.58,4.8705,0.3615,0.482,8.22,1.566833333,3.415666667,8.11E-05,-8.11E-05,-0.031966823,-0.031966823,0.009239737,-0.009239777,-0.047407978,0.047407937,8.11E-05,0.031966823,0.009239757,0.047407957,0.031966926,0.048299974,15.57512,24.82979664,0
Comp_102,HgCeMnNiO6_L,Hg,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.97,0.53,0.69,1.055,0.61,0.867779927,-124.2135406,4.86902646,5.361731,5.385354,7.61232,90,89.956787,90,219.804286,P21,4,P4/nmm,129,9.701,2.717,1.745,0.050833333,0.5195,0.305,9.5075,1.966,5.636,0.745,0.36,0.575,4.872,0.3545,0.465,8.2045,1.567666667,3.41375,-0.002067548,0.002067528,-0.027340861,-0.027340861,0.011596717,-0.011596737,0.047898859,0.047898839,0.002067538,0.027340861,0.011596727,0.047898849,0.027418924,0.049282693,14.74356618,18.84626201,1
Comp_103,HgCeMnNiO6_R,Hg,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.97,0.53,0.69,1.055,0.61,0.867779927,-124.5143916,4.92014284,5.319862,5.428161,7.592105,90.000786,89.921471,89.998039,219.237515,Pc,7,F-4 3m,216,9.706,2.717,1.737,0.051333333,0.502,0.309,9.53,1.965,5.625,0.738,0.36,0.581,4.869,0.358,0.473,8.208,1.567333333,3.414916667,-0.004976405,-0.00497719,-0.034537189,-0.034537189,0.015258819,0.015259757,-0.05584108,0.055852804,0.004976797,0.034537189,0.015259288,0.055846942,0.034893924,0.0578941,14.51742602,19.57360927,2
Comp_104,HgHfMnNiO6_C,Hg,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.83,0.53,0.69,0.68,0.61,0.732471206,-126.03162,4.59697162,5.210396,5.436561,7.329834,90.625793,89.78495,89.711121,207.612986,P-1,2,P42/mmc,131,9.747,2.7835,1.739,0.048833333,0.518,0.332,9.533,0.477,0.74,2.106,0.356,0.568,4.8555,0.362,0.477,8.2245,1.561333333,3.445666667,-0.012783114,0.012783114,-0.059814479,-0.059814479,0.023003762,-0.023003802,-0.073827079,0.073827038,0.012783114,0.059814479,0.023003782,0.073827058,0.061165186,0.077327929,22.01557994,26.68016995,0
Comp_105,HgHfMnNiO6_L,Hg,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.83,0.53,0.69,0.68,0.61,0.732471206,-125.62965,4.48122687,5.126988,5.337204,7.612506,90,89.843864,90,208.306161,P21,4,P4/nmm,129,9.728,2.7455,1.7545,0.051,0.5355,0.3405,9.5105,0.477,0.7775,2.121,0.359,0.569,4.8675,0.3545,0.4595,8.205,1.561,3.44725,0.000850707,-0.000850727,-0.028747479,-0.028747479,0.025596696,-0.025596717,0.081985433,0.081985412,0.000850717,0.028747479,0.025596707,0.081985423,0.028760064,0.085888305,21.58608752,24.47433094,1
Comp_106,HgHfMnNiO6_R,Hg,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.83,0.53,0.69,0.68,0.61,0.732471206,-125.52583,4.58892428,5.153926,5.428085,7.468561,89.991501,89.992592,89.986549,208.940087,Pc,7,F-4 3m,216,9.737,2.767,1.749,0.048583333,0.499,0.324,9.548,0.495,0.7525,2.1715,0.354,0.564,4.852,0.354,0.462,8.203,1.561333333,3.444166667,-0.009285975,-0.009239786,-0.051231606,-0.051231606,0.033814825,0.033728326,-0.073346292,0.073209977,0.00926288,0.051231606,0.033771575,0.073278135,0.052062255,0.080685837,17.45452014,15.63488507,2
Comp_107,HgSnMnNiO6_C,Hg,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.81,0.53,0.69,0.67,0.61,0.728862974,-104.94253,4.59059343,5.204405,5.394288,7.519999,90.703911,90.346886,89.952278,211.097039,P-1,2,P42/mmc,131,9.732,2.795,1.743,0.0445,0.514,0.332,9.532,1.126,1.553,0.604,0.3545,0.5615,4.8345,0.3565,0.4605,8.204,1.567166667,3.412916667,-0.010603681,0.010603681,-0.050634485,-0.050634485,0.031287295,-0.031287335,-0.06486199,0.064861949,0.010603681,0.050634485,0.031287315,0.06486197,0.051732863,0.072013688,22.35504293,23.02538976,0
Comp_108,HgSnMnNiO6_L,Hg,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.81,0.53,0.69,0.67,0.61,0.728862974,-104.83841,4.53640862,5.17713,5.320809,7.632325,90,89.847076,90,210.243234,P21,4,P4/nmm,129,9.714,2.747,1.755,0.049083333,0.5365,0.342,9.5105,1.1,1.5195,0.614,0.361,0.569,4.86,0.354,0.457,8.199,1.567666667,3.415333333,0.001944723,-0.001944743,-0.025651255,-0.025651255,0.019748857,-0.019748877,0.07191921,0.07191919,0.001944733,0.025651255,0.019748867,0.0719192,0.025724869,0.074581426,20.9608581,24.49112535,1
Comp_109,HgSnMnNiO6_R,Hg,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.81,0.53,0.69,0.67,0.61,0.728862974,-104.81429,4.50366463,5.235631,5.338616,7.646094,90.002876,89.269035,90.00898,213.698801,Pc,7,F-4 3m,216,5.755,2.7115,0.005,0.0185,0.508,0.335,9.539,1.139,1.641,0.66,0.351,0.548,4.837,0.345,0.433,8.2155,1.567,3.4115,-0.005460524,-0.005553994,-0.031045969,-0.031045969,0.007728687,0.00791398,-0.044195984,0.044249031,0.005507259,0.031045969,0.007821333,0.044222508,0.031530654,0.044908835,17.74830834,18.11889286,2
Comp_110,HgTbMnNiO6_C,Hg,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.88,0.53,0.69,0.705,0.61,0.741491788,-124.664124,3.13869089,5.303149,5.347471,7.557888,90.393814,90.132668,89.518013,214.316673,P-1,2,P42/mmc,131,7.947,2.6445,1.631,-0.049,0.542,0.349,9.472,0.267,6.641,1.27,0.369,0.595,4.8595,0.3745,0.508,8.212,1.565833333,3.411333333,-0.003383254,0.003383254,-0.038987903,-0.038987903,0.01092576,-0.010925801,-0.052637463,0.052637422,0.003383254,0.038987903,0.010925781,0.052637443,0.039134422,0.0537594,15.33152675,25.14868381,0
Comp_111,HgTbMnNiO6_L,Hg,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.88,0.53,0.69,0.705,0.61,0.741491788,-119.22386,3.04001074,5.297922,5.370264,7.54594,90,90.16188,90,214.69051,P21,4,P4/nmm,129,7.932,2.5725,1.655,-0.043166667,0.525,0.3215,9.4795,0.2775,6.6795,1.3385,0.373,0.603,4.8585,0.37,0.498,8.2075,1.566333333,3.410083333,-0.006561797,0.006561777,-0.034382628,-0.034382628,0.013889624,-0.013889644,0.059273971,0.05927395,0.006561787,0.034382628,0.013889634,0.059273961,0.035003173,0.060879589,15.17318605,19.24085371,1
Comp_112,HgTbMnNiO6_R,Hg,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.14,0.88,0.53,0.69,0.705,0.61,0.741491788,-119.52341,3.15833796,5.302903,5.421111,7.476892,89.986565,90.257103,89.98436,214.940721,Pc,7,F-4 3m,216,7.966,2.598,1.6835,-0.04725,0.524,0.3345,9.472,0.272,6.647,1.2805,0.3735,0.606,4.863,0.3705,0.499,8.215,1.5665,3.409916667,-0.003350327,-0.003585831,-0.031769819,-0.031769819,0.012276572,0.012300759,-0.066856307,0.066918623,0.003468079,0.031769819,0.012288666,0.066887465,0.031958551,0.068006943,14.18751475,20.8025071,2
Comp_113,KGdCoReO6_C,K,Gd,Co,Re,1,3,8,8,2,6,6,6,1.51,1.053,0.745,0.55,1.2815,0.6475,0.931680867,-140.720668,4.26826558,5.610725,5.52093,7.698631,89.818764,90.306175,88.258682,238.361196,P-1,2,P42/mmc,131,3.917,2.716,0.77,0.0215,1.964,5.594,0.06,0.216,6.486,1.177,0.3115,0.4095,7.136,0.624,0.974,4.538,1.558166667,3.457833333,0.037447627,-0.036795808,-0.007774238,-0.007774238,-0.051986542,0.052824021,-0.002453836,0.002025574,0.037121718,0.007774238,0.052405282,0.002239705,0.037927044,0.05245312,12.31219072,19.4283507,0
Comp_114,KGdCoReO6_L,K,Gd,Co,Re,1,3,8,8,2,6,6,6,1.51,1.053,0.745,0.55,1.2815,0.6475,0.931680867,-141.276456,4.4247,5.554807,5.433218,7.94178,89.625473,90.010391,89.91758,239.681314,P21,4,P4/nmm,129,3.953,2.6945,0.745,0.016491583,1.962,5.587,0.0555,0.22,6.5135,1.1785,0.3045,0.395,7.14,0.63,0.968,4.5645,1.558916667,3.4575,-0.021233158,-0.022616919,0.003447961,0.003447961,0.060453079,0.060607231,-0.010296119,0.009124177,0.021925039,0.003447961,0.060530155,0.009710148,0.022194498,0.061304051,6.30668727,21.02932515,1
Comp_115,KGdCoReO6_R,K,Gd,Co,Re,1,3,8,8,2,6,6,6,1.51,1.053,0.745,0.55,1.2815,0.6475,0.931680867,-140.498508,4.40220688,5.641718,5.455926,7.721009,90.062706,89.90123,90.043404,237.658247,Pc,7,F-4 3m,216,3.992,2.7055,0.757,0.010916667,1.964,5.595,0.064,0.221,6.5,1.2005,0.3035,0.3955,7.129,0.624,0.9655,4.522,1.557583333,3.45575,0.02273007,-0.021179597,-0.004643502,-0.004643502,0.066021763,-1.021179597,0.020058024,0.020948041,0.021954833,0.004643502,0.54360068,0.020503032,0.022440517,0.5439872,13.72221134,12.16855607,2
Comp_116,KGdFeWO6_C,K,Gd,Fe,W,1,3,8,8,2,6,6,6,1.51,1.053,0.78,0.6,1.2815,0.69,0.912270849,-153.685964,4.2567674,5.634359,5.54244,7.780823,90.383598,90.44046,88.146942,242.840982,P-1,2,P42/mmc,131,5.924,1.849,0.0575,0.011235425,1.961,5.5865,0.052,2.1205,5.9585,0.8095,0.2895,0.3795,6.1745,0.7015,1.102,4.0705,1.558083333,3.461166667,0.024685277,-0.024242684,-7.77E-05,-7.77E-05,-0.048765963,0.050582966,-0.016135912,0.014573203,0.024463981,7.77E-05,0.049674465,0.015354557,0.024464104,0.051993412,12.61074415,12.39672688,0
Comp_117,KGdFeWO6_L,K,Gd,Fe,W,1,3,8,8,2,6,6,6,1.51,1.053,0.78,0.6,1.2815,0.69,0.912270849,-154.56579,4.24074316,5.555073,5.476591,8.08523,89.406982,90.008522,91.144974,245.91357,P21,4,P4/nmm,129,5.983,3.701,0.048,0.001237,1.962,5.5865,0.054,2.1275,5.9715,0.8465,0.2865,0.3735,6.1015,0.7205,1.113,4.165,1.55925,3.468166667,-0.01867103,-0.019132378,0.000519215,0.000519215,0.060164839,0.061639581,-0.003547027,0.00868319,0.018901704,0.000519215,0.06090221,0.006115109,0.018908834,0.061208445,6.539958012,20.83635507,1
Comp_118,KGdFeWO6_R,K,Gd,Fe,W,1,3,8,8,2,6,6,6,1.51,1.053,0.78,0.6,1.2815,0.69,0.912270849,-153.786571,4.34947809,5.655221,5.477293,7.835422,89.78157,89.989822,89.96933,242.70275,Pc,7,F-4 3m,216,7.91,6.92,3.75,0.013752,1.963,5.593,0.061,2.132,5.969,0.867,0.2875,0.3775,6.0915,0.711,1.114,4.1225,1.56,3.468416667,0.020910973,-0.019472742,-0.002195604,-0.002195604,0.065801847,-1.019472742,0.016214194,0.016911986,0.020191858,0.002195604,0.542637295,0.01656309,0.020310878,0.542890016,13.38626079,12.98677257,2
Comp_119,KGdFeZrO6_C,K,Gd,Fe,Zr,1,3,8,8,4,4,6,6,1.51,1.019,0.78,0.6,1.2645,0.69,0.906377402,-146.766877,2.4923,5.713422,5.610454,7.668973,90.30278,88.603004,86.670677,245.33473,P-1,2,P42/mmc,131,7.87,3.6145,0.039,0.035166667,1.965,5.59,0.06,0.218,6.495,1.1555,0.4445,0.7175,5.8875,0.5435,0.862,2.475,1.564,3.446333333,0.029324864,-0.028451902,-0.011450851,-0.011450851,-0.051126421,0.051947326,-0.005826111,0.005374417,0.028888383,0.011450851,0.051536874,0.005600264,0.031075081,0.051840258,13.2926695,18.37413114,0
Comp_120,KGdFeZrO6_L,K,Gd,Fe,Zr,1,3,8,8,4,4,6,6,1.51,1.019,0.78,0.6,1.2645,0.69,0.906377402,-147.137128,2.4501,5.626616,5.532843,7.889167,89.991943,89.99353,89.975021,245.599088,P21,4,P4/nmm,129,7.963,3.8355,0.075,0.030583333,1.964,5.584,0.056,0.217,6.5055,1.1495,0.423,0.671,5.857,0.548,0.839,2.523,1.5655,3.442833333,-0.015409898,-0.015352565,0.008450961,0.008450961,0.0557945,0.055805353,-0.006683069,0.006161644,0.015381231,0.008450961,0.055799927,0.006422357,0.017549958,0.056168305,6.272659313,19.52486475,1
Comp_121,KGdFeZrO6_R,K,Gd,Fe,Zr,1,3,8,8,4,4,6,6,1.51,1.019,0.78,0.6,1.2645,0.69,0.906377402,-146.35744,2.3032,5.694283,5.533886,7.787183,90.165779,90.002213,90.000557,245.384904,Pc,7,F-4 3m,216,8.005,3.8845,0.072,0.013,1.964,5.592,0.062,0.228,6.513,1.201,0.412,0.6435,5.834,0.549,0.843,2.498,1.566666667,3.438083333,0.014592182,-0.013771392,-0.001600549,-0.001600549,0.066599709,-1.013771392,0.018979604,0.018983773,0.014181787,0.001600549,0.54018555,0.018981688,0.01427182,0.540518948,13.9178909,9.585786792,2
Comp_122,KGdMnWO6_C,K,Gd,Mn,W,1,3,8,8,2,6,6,6,1.51,1.053,0.83,0.6,1.2815,0.715,0.901226408,-157.539129,4.14197092,5.713754,5.568141,7.81205,89.720596,91.148788,89.380554,248.472555,P-1,2,P42/mmc,131,9.622,4.531,0.0885,0.020833333,1.964,5.594,0.061,0.214,6.482,1.165,0.2105,0.255,4.953,0.7105,1.1215,4.0835,1.560166667,3.469,0.039812295,-0.038998952,-0.006896436,-0.006896436,-0.055157845,0.055751589,-0.017452587,0.016935549,0.039405624,0.006896436,0.055454717,0.017194068,0.04000455,0.058059122,14.37284561,14.59383767,0
Comp_123,KGdMnWO6_L,K,Gd,Mn,W,1,3,8,8,2,6,6,6,1.51,1.053,0.83,0.6,1.2815,0.715,0.901226408,-158.640406,4.1128524,5.631323,5.482551,8.110482,89.416115,90.004997,89.98864,250.390144,P21,4,P4/nmm,129,9.609,4.532,0.093,0.018833333,1.962,5.585,0.054,0.22,6.518,1.178,0.205,0.246,4.947,0.719,1.108,4.1515,1.559166667,3.470666667,-0.02019271,-0.020233659,0.003339994,0.003339994,0.066050586,0.066093453,-0.008723845,0.008245598,0.020213185,0.003339994,0.06607202,0.008484722,0.020487274,0.06661458,6.568655021,24.08307612,1
Comp_124,KGdMnWO6_R,K,Gd,Mn,W,1,3,8,8,2,6,6,6,1.51,1.053,0.83,0.6,1.2815,0.715,0.901226408,-157.80893,4.12028729,5.75469,5.522891,7.815932,90.03701,90.0084,89.979553,248.409986,Pc,7,F-4 3m,216,9.618,4.531,0.094,0.019166667,1.963,5.591,0.059,0.225,6.512,1.2005,0.206,0.248,4.946,0.71,1.105,4.108,1.559083333,3.469583333,0.019480174,-0.01868362,-0.003241668,-0.003241668,0.073838906,-1.01868362,0.019180903,0.019242338,0.019081897,0.003241668,0.546261263,0.019211621,0.019355289,0.546598988,14.91243064,13.49319919,2
Comp_125,KGdNiReO6_C,K,Gd,Ni,Re,1,3,8,8,2,6,6,6,1.51,1.053,0.69,0.55,1.2815,0.62,0.944686564,-137.442854,4.3168,5.552795,5.486386,7.69967,89.927277,90.216751,88.22184,234.453869,P-1,2,P42/mmc,131,1.963,1.7465,0.7675,0.004801917,1.964,5.595,0.061,0.217,6.488,1.183,0.3445,0.4575,8.2265,0.624,0.975,4.541,1.557333333,3.45825,0.033346307,-0.032221343,-0.008540088,-0.008540088,-0.048252009,0.0491185,0.000552847,-0.001171288,0.032783825,0.008540088,0.048685254,0.000862068,0.033877903,0.048692886,11.55266208,18.75782289,0
Comp_126,KGdNiReO6_L,K,Gd,Ni,Re,1,3,8,8,2,6,6,6,1.51,1.053,0.69,0.55,1.2815,0.62,0.944686564,-138.002134,4.4587,5.533272,5.418515,7.861864,89.731133,90.002571,90.003044,235.712736,P21,4,P4/nmm,129,1.992,1.719,0.7415,0.007611167,1.962,5.589,0.057,0.221,6.518,1.1855,0.337,0.437,8.231,0.63,0.967,4.566,1.558166667,3.457666667,-0.022168312,-0.022288294,0.002631326,0.002631326,0.059189868,0.059145597,-0.010786222,0.010340036,0.022228303,0.002631326,0.059167733,0.010563129,0.022383506,0.060103247,6.118137309,20.80662405,1
Comp_127,KGdNiReO6_R,K,Gd,Ni,Re,1,3,8,8,2,6,6,6,1.51,1.053,0.69,0.55,1.2815,0.62,0.944686564,-137.190811,4.43347022,5.602486,5.432611,7.678953,90.049522,89.999611,90.017845,233.717467,Pc,7,F-4 3m,216,2.032,1.732,0.759,0.012583333,1.965,5.597,0.066,0.221,6.5,1.201,0.337,0.442,8.222,0.625,0.968,4.525,1.557,3.456583333,0.019059044,-0.018254618,-0.002751263,-0.002751263,0.06534774,-1.018254618,0.017157036,0.016961292,0.018656831,0.002751263,0.541801179,0.017059164,0.0188586,0.542069675,13.04705674,11.66160469,2
Comp_128,KGdNiWO6_C,K,Gd,Ni,W,1,3,8,8,2,6,6,6,1.51,1.053,0.69,0.6,1.2815,0.645,0.932848387,-146.694079,3.53238876,5.562015,5.493322,7.668621,89.944016,90.358475,89.294609,234.284109,P-1,2,P42/mmc,131,4.022,1.769,0.027,0.031333333,1.964,5.597,0.062,0.2085,6.47,1.146,0.3465,0.463,8.2205,0.7165,1.1365,4.1235,1.557166667,3.47325,0.028664151,-0.027720273,-0.006099051,-0.006099051,-0.047088491,0.047942569,-0.008280207,0.007946188,0.028192212,0.006099051,0.04751553,0.008113197,0.028844397,0.048203211,11.80485626,13.32661464,0
Comp_129,KGdNiWO6_L,K,Gd,Ni,W,1,3,8,8,2,6,6,6,1.51,1.053,0.69,0.6,1.2815,0.645,0.932848387,-147.531001,3.3569,5.5158,5.418676,7.912756,89.599609,89.995949,90.001076,236.493341,P21,4,P4/nmm,129,4.013,1.764,0.0355,0.004118083,1.963,5.59,0.057,0.216,6.506,1.169,0.3385,0.443,8.209,0.724,1.121,4.1835,1.558333333,3.473166667,-0.018729726,-0.018777805,0.002882403,0.002882403,0.057011876,0.05690615,-0.008369026,0.007798243,0.018753765,0.002882403,0.056959013,0.008083635,0.018973981,0.057529769,6.333193881,18.47339414,1
